number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
376,1.243242025,26:41.4,26:50.8,0 days 00:00:09.379959,gelu,64,0,6,huber,0.000557769,0.26919537,1.09E-05,512,,COMPLETE
179,1.243359184,56:53.3,57:00.9,0 days 00:00:07.575863,gelu,64,0,6,huber,0.001573516,0.335191022,3.94E-06,512,,COMPLETE
267,1.243548346,08:16.2,08:25.4,0 days 00:00:09.213098,gelu,64,0,6,huber,0.001532547,0.281401732,7.35E-06,128,,COMPLETE
315,1.243741274,15:58.7,16:09.7,0 days 00:00:10.974904,gelu,64,0,6,huber,0.000520328,0.255221349,1.36E-05,512,,COMPLETE
346,1.243841648,21:34.8,21:43.0,0 days 00:00:08.261680,gelu,64,0,6,huber,0.000588231,0.257712192,1.64E-05,512,,COMPLETE
423,1.243890119,34:39.7,34:48.7,0 days 00:00:08.961042,gelu,64,0,6,huber,0.000529437,0.255718225,1.26E-05,512,,COMPLETE
135,1.244031906,50:53.5,51:02.8,0 days 00:00:09.329952,gelu,64,0,6,huber,0.001528039,0.283844961,1.34E-05,512,,COMPLETE
239,1.244315612,04:43.9,04:53.6,0 days 00:00:09.684780,gelu,64,0,6,huber,0.001620368,0.298901782,1.24E-05,128,,COMPLETE
419,1.244544131,34:03.3,34:13.0,0 days 00:00:09.646240,relu,64,0,6,huber,0.000536387,0.274845819,7.73E-06,512,,COMPLETE
161,1.244548309,54:27.9,54:36.5,0 days 00:00:08.556381,gelu,64,0,6,huber,0.001439641,0.300470743,1.99E-05,512,,COMPLETE
103,1.244754231,45:39.8,45:55.4,0 days 00:00:15.616703,gelu,32,0,6,mae,0.001143983,0.273860734,5.35E-06,512,,COMPLETE
412,1.244903052,33:03.3,33:11.9,0 days 00:00:08.636331,gelu,64,0,6,huber,0.000541133,0.272106455,9.87E-06,512,,COMPLETE
480,1.245149779,45:02.6,45:09.7,0 days 00:00:07.084109,gelu,64,0,6,huber,0.00055771,0.28596069,9.15E-06,1024,,COMPLETE
464,1.245222497,42:13.8,42:22.8,0 days 00:00:08.902861,gelu,64,0,6,huber,0.000548536,0.254610216,8.99E-06,512,,COMPLETE
497,1.245551014,47:52.4,48:01.4,0 days 00:00:08.957791,gelu,64,0,6,huber,0.000579104,0.260770446,1.39E-05,512,,COMPLETE
244,1.245571196,05:23.5,05:31.1,0 days 00:00:07.600011,gelu,64,0,6,huber,0.001600428,0.338204443,1.35E-05,512,,COMPLETE
282,1.245814478,10:29.3,10:38.4,0 days 00:00:09.122494,gelu,64,0,6,huber,0.000531409,0.27699722,1.62E-05,512,,COMPLETE
204,1.245882058,00:06.0,00:13.7,0 days 00:00:07.767804,gelu,64,0,6,huber,0.001375201,0.307902348,1.84E-05,512,,COMPLETE
109,1.246075523,47:13.2,47:21.7,0 days 00:00:08.491295,gelu,64,0,6,mae,0.001107418,0.286038006,4.14E-06,512,,COMPLETE
457,1.246186543,40:51.0,40:59.7,0 days 00:00:08.705992,gelu,64,0,6,huber,0.000540598,0.260719143,1.61E-05,512,,COMPLETE
322,1.246402287,17:09.4,17:19.8,0 days 00:00:10.388856,relu,64,0,6,huber,0.000562486,0.268123922,1.15E-05,512,,COMPLETE
104,1.246548104,45:55.5,46:10.8,0 days 00:00:15.292780,gelu,32,0,6,mae,0.001123613,0.279454972,5.59E-06,512,,COMPLETE
195,1.246688735,58:54.8,59:02.4,0 days 00:00:07.509752,gelu,64,0,6,huber,0.001472564,0.31150286,2.72E-06,512,,COMPLETE
379,1.246780241,27:10.2,27:19.6,0 days 00:00:09.373211,gelu,64,0,6,huber,0.00053295,0.281549802,1.18E-05,512,,COMPLETE
484,1.246963584,45:45.1,45:53.8,0 days 00:00:08.673931,gelu,64,0,6,huber,0.000534794,0.275050327,1.08E-05,512,,COMPLETE
