number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
28,1.1535335421562194,2025-10-19 19:48:14.384865,2025-10-19 19:49:43.003748,0 days 00:01:28.618883,gelu,64,0.3,6,mse,0.0007492933989561525,0.2764865906043058,0.00028050769361372726,128,,COMPLETE
29,1.071811044216156,2025-10-19 19:49:43.090012,2025-10-19 19:55:29.885573,0 days 00:05:46.795561,gelu,16,0.2,6,mae,0.0009694972543125662,0.22074554530908597,1.5553842941439504e-05,512,,COMPLETE
30,1.0541612803936005,2025-10-19 19:55:29.972722,2025-10-19 19:56:11.371773,0 days 00:00:41.399051,gelu,64,0.0,4,mse,0.0005930471368913773,0.2748671275933453,3.5864603214345942e-06,1024,,COMPLETE
31,1.0236841440200806,2025-10-19 19:56:11.455660,2025-10-19 19:57:03.534715,0 days 00:00:52.079055,gelu,64,0.0,6,huber,0.0009697101479417596,0.3557530779142577,0.0008836343679057071,1024,,COMPLETE
32,1.0409115493297576,2025-10-19 19:57:03.616286,2025-10-19 19:57:52.747676,0 days 00:00:49.131390,gelu,64,0.0,6,huber,0.0011656037863647028,0.3630802170776644,0.0009098522636047817,1024,,COMPLETE
33,1.023167494535446,2025-10-19 19:57:52.829991,2025-10-19 19:58:50.048394,0 days 00:00:57.218403,gelu,64,0.0,3,huber,0.0008553187456401991,0.34192736970890947,0.0005293687622115882,1024,,COMPLETE
34,1.029605209827423,2025-10-19 19:58:50.130280,2025-10-19 19:59:39.712881,0 days 00:00:49.582601,gelu,64,0.0,6,huber,0.0010064842669730723,0.3142822928313508,0.00019855453112307858,1024,,COMPLETE
35,1.072460651397705,2025-10-19 19:59:39.795186,2025-10-19 20:00:36.816437,0 days 00:00:57.021251,gelu,64,0.1,2,mse,0.0012410052288810173,0.3835302141128546,0.0006571655085847592,256,,COMPLETE
36,1.0554244196414948,2025-10-19 20:00:36.903352,2025-10-19 20:04:00.603323,0 days 00:03:23.699971,gelu,16,0.0,3,huber,0.0010754355273231333,0.2875100291926671,0.00029758879834896614,1024,,COMPLETE
37,1.0618496179580688,2025-10-19 20:04:00.685227,2025-10-19 20:05:45.170991,0 days 00:01:44.485764,gelu,64,0.3,6,huber,0.0007395567881713262,0.36183505783765274,0.00012614139182639338,512,,COMPLETE
38,1.0603185772895813,2025-10-19 20:05:45.257641,2025-10-19 20:07:16.003307,0 days 00:01:30.745666,relu,32,0.0,4,mse,0.001611999825652713,0.3329143974555093,0.0001784372941902563,1024,,COMPLETE
39,1.0249601125717163,2025-10-19 20:07:16.087210,2025-10-19 20:08:38.660020,0 days 00:01:22.572810,gelu,64,0.2,5,huber,0.0006589352885780626,0.29933179793608766,0.0004518848755030697,1024,,COMPLETE
40,1.0497456669807435,2025-10-19 20:08:38.743081,2025-10-19 20:10:57.643591,0 days 00:02:18.900510,relu,32,0.1,3,mae,0.000942965354495641,0.26008689486509184,0.0005680646851380634,128,,COMPLETE
41,1.0037885367870332,2025-10-19 20:10:57.725210,2025-10-19 20:12:02.695268,0 days 00:01:04.970058,gelu,64,0.0,6,huber,0.0008376941885347017,0.29188994865247037,1.1076483169344844e-06,1024,,COMPLETE
42,1.0276435434818267,2025-10-19 20:12:02.777050,2025-10-19 20:13:02.010059,0 days 00:00:59.233009,gelu,64,0.0,6,huber,0.0008741507971257391,0.3865130623221448,7.301480665050788e-06,1024,,COMPLETE
43,1.0233209133148193,2025-10-19 20:13:02.092077,2025-10-19 20:13:53.663209,0 days 00:00:51.571132,gelu,64,0.0,6,huber,0.0010294801341761129,0.223339890544673,3.777958208245469e-06,1024,,COMPLETE
44,1.0491998314857482,2025-10-19 20:13:53.745557,2025-10-19 20:14:29.599100,0 days 00:00:35.853543,gelu,64,0.0,6,huber,0.0009224814712631514,0.3556787061309131,1.5652181741665173e-05,1024,,COMPLETE
45,1.044753235578537,2025-10-19 20:14:29.681209,2025-10-19 20:15:16.971229,0 days 00:00:47.290020,relu,64,0.0,2,huber,0.001966185874160152,0.25830031614152477,0.0007013772574919761,1024,,COMPLETE
46,1.0275079548358916,2025-10-19 20:15:17.053377,2025-10-19 20:18:39.470691,0 days 00:03:22.417314,gelu,32,0.0,6,huber,0.0011155238653398655,0.37108634730476786,1.1383102654679277e-06,256,True,COMPLETE
47,1.0007885813713073,2025-10-19 20:18:39.553090,2025-10-19 20:19:49.464248,0 days 00:01:09.911158,gelu,64,0.1,4,huber,0.0007536683531562304,0.3096387353705446,4.785559846080866e-05,512,,COMPLETE
48,1.0116377651691437,2025-10-19 20:19:49.546528,2025-10-19 20:21:06.274954,0 days 00:01:16.728426,relu,64,0.1,4,mae,0.0007113890881195611,0.30960170876202553,5.6883356763237954e-05,512,,COMPLETE
49,1.0494402825832367,2025-10-19 20:21:06.362209,2025-10-19 20:25:03.206033,0 days 00:03:56.843824,gelu,16,0.1,4,huber,0.000761777402901419,0.2860618827072451,2.33926475072651e-05,512,,COMPLETE
50,1.0227025270462036,2025-10-19 20:25:03.288585,2025-10-19 20:26:13.385241,0 days 00:01:10.096656,gelu,64,0.1,4,mse,0.000626288741301543,0.3200031579377937,9.413115493112392e-05,512,,COMPLETE
51,0.9959554553031922,2025-10-19 20:26:13.466979,2025-10-19 20:27:27.390854,0 days 00:01:13.923875,gelu,64,0.1,4,huber,0.0008269080740957558,0.352239361693997,3.932888273161097e-05,512,,COMPLETE
52,1.0177477717399597,2025-10-19 20:27:27.472563,2025-10-19 20:28:29.273337,0 days 00:01:01.800774,gelu,64,0.1,4,huber,0.0008246156000865746,0.32770268962166443,4.354013671703456e-05,512,,COMPLETE
53,1.0136542797088623,2025-10-19 20:28:29.355062,2025-10-19 20:29:37.538957,0 days 00:01:08.183895,gelu,64,0.1,4,huber,0.0008505105206500254,0.34268261933471433,1.2694342314124027e-05,512,,COMPLETE
54,1.0059622764587401,2025-10-19 20:29:37.625946,2025-10-19 20:30:56.544681,0 days 00:01:18.918735,gelu,64,0.1,4,huber,0.0007257750643729809,0.3052062087481261,4.376590562207003e-05,512,,COMPLETE
55,1.0168693363666534,2025-10-19 20:30:56.627380,2025-10-19 20:32:04.590453,0 days 00:01:07.963073,gelu,64,0.1,4,huber,0.0006719419445128899,0.245310558261368,2.0761085241311585e-05,512,,COMPLETE
56,1.0174777507781982,2025-10-19 20:32:04.677089,2025-10-19 20:33:20.924558,0 days 00:01:16.247469,gelu,64,0.1,5,huber,0.0008958701485351767,0.3513119816823435,5.640393001231494e-06,512,,COMPLETE
57,1.0973503232002257,2025-10-19 20:33:21.006647,2025-10-19 20:36:19.866358,0 days 00:02:58.859711,gelu,32,0.3,4,huber,0.0007889506729869778,0.3358606730762528,3.1941882907255124e-05,128,,COMPLETE
58,1.0538827061653138,2025-10-19 20:36:19.953438,2025-10-19 20:37:31.604918,0 days 00:01:11.651480,gelu,64,0.2,2,huber,0.0008173095561813508,0.3679471907417694,1.628915259346871e-06,512,,COMPLETE
59,1.0468831002712249,2025-10-19 20:37:31.687710,2025-10-19 20:39:02.086726,0 days 00:01:30.399016,relu,64,0.1,6,mae,0.0009257999790851203,0.32402279686022506,0.00010264098923003713,256,,COMPLETE
60,1.0405593395233155,2025-10-19 20:39:02.169092,2025-10-19 20:39:36.513639,0 days 00:00:34.344547,gelu,64,0.0,4,huber,0.001049023709505533,0.3898516376393957,3.563748770489622e-05,1024,,COMPLETE
61,1.0182019650936127,2025-10-19 20:39:36.596410,2025-10-19 20:40:47.033027,0 days 00:01:10.436617,gelu,64,0.1,4,huber,0.0007015001477707614,0.3033876835989041,4.510319156610465e-05,512,,COMPLETE
62,1.0073654413223267,2025-10-19 20:40:47.121317,2025-10-19 20:41:57.786915,0 days 00:01:10.665598,gelu,64,0.1,4,huber,0.0007295328049226075,0.30591673390128277,7.636848074371186e-05,512,,COMPLETE
63,1.027553129196167,2025-10-19 20:41:57.868628,2025-10-19 20:42:55.100378,0 days 00:00:57.231750,gelu,64,0.1,4,huber,0.0007766769970196163,0.29540214063267617,4.8155339158821405e-05,512,,COMPLETE
64,1.0107604920864106,2025-10-19 20:42:55.187579,2025-10-19 20:44:06.529106,0 days 00:01:11.341527,gelu,64,0.1,4,huber,0.0006148352988406269,0.26718823310839834,2.2226736876090796e-05,512,,COMPLETE
65,1.0191228687763214,2025-10-19 20:44:06.615756,2025-10-19 20:45:27.741734,0 days 00:01:21.125978,gelu,64,0.1,6,huber,0.0008505699348867336,0.3133995918164437,0.00027596249925998707,512,,COMPLETE
