number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
315,1.615958047,17:56.2,18:46.9,0 days 00:00:50.647531,gelu,64,0,5,huber,0.000791475,0.334069399,0.000662343,128,,COMPLETE
241,1.616038346,16:04.7,16:54.7,0 days 00:00:49.954999,gelu,64,0,4,mse,0.00064897,0.257848706,0.000688122,128,,COMPLETE
471,1.616122639,21:03.8,21:50.0,0 days 00:00:46.250558,gelu,64,0,6,huber,0.000648013,0.266060654,0.000240258,512,,COMPLETE
425,1.616209173,45:52.6,46:44.9,0 days 00:00:52.305564,gelu,64,0,5,huber,0.001066763,0.337310343,0.000867567,128,,COMPLETE
171,1.616292155,21:24.3,22:04.3,0 days 00:00:40.079288,gelu,64,0,5,huber,0.001645603,0.20845771,0.000682365,128,,COMPLETE
408,1.61630156,32:54.8,33:37.6,0 days 00:00:42.767899,gelu,64,0,4,huber,0.001031478,0.331806883,0.000764536,128,,COMPLETE
426,1.616603744,46:45.1,47:39.0,0 days 00:00:53.881917,gelu,64,0,5,huber,0.00098962,0.328482214,0.000659045,128,,COMPLETE
338,1.616716015,37:47.9,38:40.2,0 days 00:00:52.276270,gelu,64,0,5,huber,0.001120038,0.332157018,0.000685585,128,,COMPLETE
131,1.616887534,48:03.0,48:56.5,0 days 00:00:53.522985,gelu,64,0,5,huber,0.001012759,0.305709573,0.000600862,128,,COMPLETE
106,1.616895151,25:46.7,26:30.7,0 days 00:00:43.986525,gelu,64,0,4,mse,0.000751936,0.30950584,0.00034407,128,,COMPLETE
163,1.616901731,14:22.6,15:08.7,0 days 00:00:46.170229,gelu,64,0,5,huber,0.001691769,0.300842531,0.000831918,128,,COMPLETE
58,1.616927755,42:51.5,43:35.0,0 days 00:00:43.517042,gelu,64,0,5,huber,0.000900973,0.262416891,0.000608441,512,,COMPLETE
326,1.616932058,29:49.0,30:48.4,0 days 00:00:59.396153,gelu,64,0,5,mse,0.000634313,0.343631665,0.000923793,128,,COMPLETE
468,1.617129993,18:45.3,19:31.4,0 days 00:00:46.077267,gelu,64,0,6,huber,0.000623617,0.275512517,0.000263118,512,,COMPLETE
115,1.617247915,33:29.2,34:20.9,0 days 00:00:51.672092,gelu,64,0,5,huber,0.001049908,0.34468857,0.000556054,128,,COMPLETE
286,1.617250264,54:01.8,54:51.5,0 days 00:00:49.677109,gelu,64,0,5,mse,0.001217567,0.323886698,0.000644597,128,,COMPLETE
378,1.617289853,09:06.6,09:51.4,0 days 00:00:44.750817,gelu,64,0,6,huber,0.001024994,0.340307595,4.30E-05,512,,COMPLETE
18,1.617307889,03:41.9,04:30.1,0 days 00:00:48.254266,gelu,64,0,5,huber,0.001045084,0.33315675,0.000109932,128,,COMPLETE
415,1.617482913,39:06.9,39:53.3,0 days 00:00:46.449529,gelu,64,0,5,huber,0.00144411,0.297879953,8.11E-05,128,,COMPLETE
68,1.61759479,50:40.6,51:23.8,0 days 00:00:43.235264,gelu,64,0,5,huber,0.000962421,0.240143151,0.000464892,512,,COMPLETE
